Width,Height
1920,869
407,556,1736874187295
1261,721,1736874198731
1292,722,1736874200906
1204,724,1736874202630
513,775,1736874203615
486,792,1736874204134
536,786,1736874204502
486,787,1736874204820
522,802,1736874205034
488,789,1736874205256
484,789,1736874205366
515,780,1736874205564
559,779,1736874205786
493,800,1736874205992
489,786,1736874206182
533,779,1736874206342
517,795,1736874206556
494,779,1736874206720
541,772,1736874206942
518,793,1736874207128
485,794,1736874207300
519,783,1736874207474
475,805,1736874207802
1363,438,1736874208893
1302,651,1736874218934
1302,651,1736874219131
1396,651,1736874219361
1219,645,1736874219603
1329,649,1736874219823
1253,649,1736874220661
1349,647,1736874221255
1227,651,1736874221507
1328,651,1736874221794
1239,650,1736874222094
1050,42,1736874223154
995,41,1736874223487
1135,45,1736874223777
1030,43,1736874224048
1095,42,1736874224302
923,38,1736874224730
897,44,1736874224978
940,45,1736874225297
923,45,1736874225557
897,45,1736874225787
853,43,1736874226149
813,43,1736874226481
849,50,1736874226791
763,58,1736874227052
825,51,1736874227354
825,44,1736874227581
823,44,1736874228385
834,59,1736874239676
