Width,Height
1920,869
832,89,1736871929504
837,84,1736871929903
809,85,1736871930094
917,84,1736871930259
851,90,1736871930517
843,79,1736871930705
860,107,1736871930880
801,98,1736871931054
831,88,1736871931239
821,90,1736871931546
818,89,1736871931744
822,83,1736871931937
937,79,1736871932490
926,92,1736871932846
939,78,1736871933072
948,84,1736871933258
924,89,1736871933447
924,79,1736871933630
941,74,1736871933804
938,87,1736871934024
926,80,1736871934228
958,79,1736871934439
945,87,1736871934633
930,80,1736871934805
929,72,1736871934974
1067,83,1736871935779
1067,85,1736871935929
1056,78,1736871936119
1026,82,1736871936682
1055,95,1736871937018
1025,85,1736871937206
1047,78,1736871937384
1064,60,1736871940560
735,340,1736871941400
826,56,1736871942729
946,445,1736871943305
827,370,1736871943891
982,318,1736871944133
1025,339,1736871944497
838,425,1736871944981
834,55,1736871945696
820,75,1736871950581
763,82,1736871950953
762,58,1736871951221
822,74,1736871951747
843,89,1736871952023
787,79,1736871952284
939,31,1736871955018
949,265,1736871959877
1866,511,1736871963979
824,49,1736871978454
1060,52,1736872009277
1034,54,1736872009495
911,54,1736872009900
809,51,1736872010610
917,44,1736872011055
1043,37,1736872011396
892,53,1736872011664
795,53,1736872011933
943,55,1736872012363
1006,46,1736872012580
805,48,1736872013488
849,46,1736872026561
