Width,Height
1920,869
273,813,1736277602528
329,751,1736277602542
387,699,1736277602558
437,659,1736277602573
531,593,1736277602584
643,519,1736277602599
703,479,1736277602609
797,425,1736277602619
849,405,1736277602630
883,393,1736277602640
917,385,1736277602649
941,379,1736277602658
964,374,1736277602668
966,372,1736277602677
966,371,1736277602687
964,371,1736277603325
957,374,1736277603339
911,379,1736277603348
881,375,1736277603356
851,365,1736277603366
840,359,1736277603374
825,350,1736277603381
795,332,1736277603389
763,314,1736277603397
737,296,1736277603405
705,274,1736277603413
671,248,1736277603421
641,226,1736277603431
613,206,1736277603439
595,194,1736277603447
582,187,1736277603455
579,184,1736277603463
577,183,1736277603471
576,181,1736277603479
576,179,1736277603489
576,178,1736277603496
576,176,1736277603504
576,174,1736277603513
577,174,1736277603521
577,173,1736277603529
578,172,1736277603537
579,171,1736277603545
583,169,1736277603553
588,167,1736277603561
592,166,1736277603569
599,163,1736277603576
610,160,1736277603584
616,156,1736277603593
621,154,1736277603601
627,149,1736277603611
634,142,1736277603619
642,136,1736277603627
649,128,1736277603635
653,123,1736277603643
659,118,1736277603651
661,111,1736277603659
664,103,1736277603667
667,93,1736277603677
670,74,1736277603685
672,64,1736277603694
675,47,1736277603702
677,41,1736277603709
678,38,1736277603717
679,37,1736277603725
680,36,1736277603737
681,36,1736277603745
682,35,1736277603753
684,34,1736277603761
686,33,1736277603769
688,32,1736277603777
691,31,1736277603784
694,30,1736277603791
698,29,1736277603799
703,29,1736277603807
707,29,1736277603815
709,29,1736277603823
712,30,1736277603831
715,30,1736277603839
717,31,1736277603846
719,31,1736277603854
721,32,1736277603861
723,32,1736277603869
726,33,1736277603877
729,33,1736277603885
731,33,1736277603893
734,33,1736277603901
736,34,1736277603909
738,34,1736277603916
740,34,1736277603924
741,34,1736277603931
742,35,1736277603939
743,35,1736277603947
744,35,1736277603959
745,36,1736277603985
746,37,1736277603996
749,38,1736277604004
751,40,1736277604010
754,42,1736277604017
756,43,1736277604025
759,44,1736277604033
762,45,1736277604041
767,46,1736277604049
770,46,1736277604057
773,46,1736277604065
774,46,1736277604073
776,47,1736277604328
781,49,1736277604339
787,52,1736277604347
804,59,1736277604354
819,69,1736277604361
829,74,1736277604368
855,94,1736277604381
877,118,1736277604389
897,140,1736277604397
913,168,1736277604405
927,196,1736277604412
931,218,1736277604419
933,233,1736277604428
933,249,1736277604435
931,256,1736277604443
926,263,1736277604450
919,267,1736277604459
908,272,1736277604467
890,277,1736277604475
876,281,1736277604483
844,287,1736277604490
818,291,1736277604497
799,291,1736277604505
773,293,1736277604513
762,293,1736277604521
745,291,1736277604528
741,290,1736277604537
738,289,1736277604545
737,288,1736277604553
737,286,1736277604559
738,278,1736277604567
739,273,1736277604575
746,256,1736277604583
753,242,1736277604591
760,233,1736277604599
770,223,1736277604607
777,218,1736277604615
784,216,1736277604623
793,214,1736277604630
798,214,1736277604637
804,217,1736277604645
808,220,1736277604653
812,225,1736277604661
812,233,1736277604669
813,252,1736277604677
811,272,1736277604685
803,304,1736277604691
793,330,1736277604699
782,345,1736277604707
777,350,1736277604715
772,351,1736277604723
768,352,1736277604731
763,352,1736277604745
757,351,1736277604752
749,346,1736277604759
741,336,1736277604766
731,324,1736277604772
727,313,1736277604779
726,306,1736277604785
724,278,1736277604793
724,258,1736277604801
725,250,1736277604809
728,248,1736277604817
731,248,1736277604825
734,248,1736277604833
737,248,1736277604840
742,254,1736277604847
750,268,1736277604855
758,285,1736277604863
760,301,1736277604871
761,320,1736277604879
761,342,1736277604887
761,366,1736277604895
761,382,1736277604902
761,394,1736277604909
760,403,1736277604917
757,412,1736277604925
755,414,1736277604933
753,415,1736277604941
752,416,1736277604949
750,416,1736277604957
749,416,1736277604965
748,416,1736277604973
749,416,1736277605001
751,416,1736277605011
753,416,1736277605019
758,415,1736277605025
766,414,1736277605033
783,408,1736277605041
805,406,1736277605049
835,400,1736277605057
885,398,1736277605065
937,396,1736277605073
993,396,1736277605084
1045,396,1736277605091
1091,396,1736277605099
1147,400,1736277605107
1195,404,1736277605115
1231,408,1736277605123
1271,414,1736277605131
1293,418,1736277605139
1325,426,1736277605151
1340,430,1736277605160
1356,434,1736277605167
1368,436,1736277605174
1370,437,1736277605181
1372,437,1736277605189
1372,438,1736277605231
1372,439,1736277605242
1372,439,1736277605262
1372,440,1736277605270
1374,441,1736277605277
1376,443,1736277605285
1377,443,1736277605293
1378,444,1736277605301
1378,444,1736277605337
1378,441,1736277605348
1378,437,1736277605356
1378,429,1736277605363
1378,423,1736277605369
1378,419,1736277605376
1378,416,1736277605383
1378,413,1736277605390
1379,411,1736277605398
1379,409,1736277605405
1380,408,1736277605424
1380,409,1736277605466
1380,412,1736277605476
1379,415,1736277605485
1376,418,1736277605492
1371,423,1736277605500
1366,427,1736277605507
1356,431,1736277605514
1341,436,1736277605522
1329,438,1736277605529
1320,438,1736277605545
1307,438,1736277605553
1299,436,1736277605560
1293,432,1736277605566
1290,430,1736277605574
1290,426,1736277605581
1290,418,1736277605588
1292,408,1736277605597
1296,399,1736277605604
1303,392,1736277605614
1312,386,1736277605622
1319,383,1736277605629
1333,383,1736277605637
1339,383,1736277605646
1350,383,1736277605657
1357,385,1736277605664
1362,387,1736277605671
1363,391,1736277605678
1363,394,1736277605690
1363,397,1736277605698
1363,402,1736277605705
1361,409,1736277605712
1353,419,1736277605720
1347,424,1736277605728
1341,426,1736277605738
1337,429,1736277605746
1328,430,1736277605752
1317,430,1736277605759
1310,430,1736277605769
1306,429,1736277605777
1301,427,1736277605787
1300,425,1736277605794
1299,423,1736277605801
1299,417,1736277605812
1301,411,1736277605820
1304,406,1736277605827
1313,397,1736277605834
1330,390,1736277605841
1344,386,1736277605854
1362,384,1736277605862
1370,383,1736277605869
1377,383,1736277605876
1384,385,1736277605883
1386,388,1736277605896
1389,392,1736277605904
1390,397,1736277605911
1390,403,1736277605918
1386,406,1736277605925
1381,411,1736277605939
1377,413,1736277605946
1369,416,1736277605953
1357,417,1736277605960
1345,419,1736277605967
1328,419,1736277605973
1316,415,1736277605981
1309,414,1736277605989
1301,409,1736277606005
1300,405,1736277606012
1299,401,1736277606018
1299,397,1736277606024
1302,390,1736277606031
1318,380,1736277606039
1330,377,1736277606047
1350,373,1736277606060
1368,373,1736277606067
1385,371,1736277606074
1403,373,1736277606084
1413,376,1736277606091
1417,380,1736277606098
1417,385,1736277606105
1417,391,1736277606114
1413,399,1736277606122
1407,406,1736277606132
1399,413,1736277606139
1391,416,1736277606150
1386,417,1736277606158
1377,418,1736277606165
1366,418,1736277606172
1351,415,1736277606179
1339,410,1736277606193
1334,407,1736277606200
1330,402,1736277606208
1328,400,1736277606214
1327,392,1736277606221
1329,385,1736277606229
1333,382,1736277606237
1339,378,1736277606245
1348,377,1736277606254
1367,377,1736277606266
1381,378,1736277606274
1400,384,1736277606281
1415,390,1736277606288
1429,399,1736277606295
1432,403,1736277606308
1433,406,1736277606316
1433,410,1736277606323
1432,414,1736277606331
1427,419,1736277606339
1418,425,1736277606346
1400,431,1736277606353
1384,434,1736277606361
1364,436,1736277606375
1344,438,1736277606383
1325,438,1736277606390
1306,436,1736277606398
1288,428,1736277606405
1285,424,1736277606413
1282,418,1736277606420
1282,413,1736277606428
1282,395,1736277606435
1286,378,1736277606442
1298,364,1736277606454
1310,359,1736277606462
1319,357,1736277606470
1331,357,1736277606477
1349,357,1736277606485
1361,359,1736277606492
1367,363,1736277606500
1369,366,1736277606509
1369,369,1736277606517
1369,377,1736277606525
1368,383,1736277606533
1365,390,1736277606545
1357,400,1736277606553
1349,407,1736277606560
1343,409,1736277606567
1331,414,1736277606581
1319,415,1736277606588
1310,415,1736277606595
1305,415,1736277606602
1301,414,1736277606609
1300,412,1736277606617
1300,409,1736277606624
1300,405,1736277606632
1304,402,1736277606640
1309,399,1736277606654
1317,397,1736277606661
1330,395,1736277606669
1341,395,1736277606677
1358,395,1736277606685
1373,399,1736277606692
1382,403,1736277606700
1385,406,1736277606707
1386,406,1736277606720
1386,408,1736277606728
1385,409,1736277606735
1382,411,1736277606742
1372,414,1736277606748
1364,415,1736277606755
1351,415,1736277606763
1332,415,1736277606773
1321,412,1736277606781
1308,407,1736277606789
1300,402,1736277606797
1296,398,1736277606805
1296,395,1736277606813
1296,391,1736277606821
1298,388,1736277606829
1303,384,1736277606837
1309,382,1736277606847
1315,381,1736277606855
1320,379,1736277606863
1326,379,1736277606871
1334,379,1736277606884
1339,381,1736277606892
1341,384,1736277606899
1342,386,1736277606906
1342,389,1736277606914
1342,393,1736277606926
1342,395,1736277606933
1340,398,1736277606940
1338,401,1736277606946
1337,402,1736277606953
1335,404,1736277606961
1333,404,1736277606969
1332,406,1736277606977
1331,406,1736277606985
1331,407,1736277606993
1331,408,1736277607006
1331,409,1736277607022
1331,409,1736277607043
1332,409,1736277607054
