Width,Height
1920,869
215,863,1736273585489
233,811,1736273585511
285,687,1736273585529
309,629,1736273585542
361,517,1736273585555
419,419,1736273585567
449,381,1736273585580
503,329,1736273585594
525,313,1736273585606
573,281,1736273585619
617,258,1736273585635
662,234,1736273585647
688,224,1736273585658
738,210,1736273585669
770,206,1736273585681
842,200,1736273585692
864,200,1736273585703
914,200,1736273585715
923,200,1736273585727
949,198,1736273585738
956,197,1736273585751
964,194,1736273585763
966,193,1736273585774
968,191,1736273585784
969,191,1736273585795
970,191,1736273585808
970,192,1736273586003
969,192,1736273586018
968,193,1736273586028
964,193,1736273586038
960,192,1736273586048
952,188,1736273586058
938,184,1736273586068
887,158,1736273586084
867,144,1736273586094
831,110,1736273586104
824,102,1736273586114
823,100,1736273586123
823,99,1736273586140
823,97,1736273586150
825,96,1736273586159
827,95,1736273586168
831,94,1736273586177
841,93,1736273586185
851,93,1736273586194
894,106,1736273586203
914,112,1736273586211
936,122,1736273586220
958,132,1736273586230
972,146,1736273586238
988,172,1736273586247
994,220,1736273586256
988,248,1736273586265
978,268,1736273586273
958,294,1736273586282
944,306,1736273586290
930,313,1736273586299
918,313,1736273586308
903,311,1736273586316
875,302,1736273586325
841,286,1736273586333
745,236,1736273586342
701,214,1736273586351
659,190,1736273586359
619,164,1736273586367
599,150,1736273586376
579,134,1736273586384
565,122,1736273586393
562,118,1736273586401
560,113,1736273586410
560,111,1736273586418
562,108,1736273586427
575,100,1736273586436
589,95,1736273586444
609,89,1736273586453
625,83,1736273586462
635,82,1736273586470
644,79,1736273586479
649,77,1736273586488
653,76,1736273586496
655,75,1736273586505
656,74,1736273586514
657,74,1736273586523
658,73,1736273586539
661,73,1736273586549
669,71,1736273586558
678,70,1736273586567
684,69,1736273586576
691,69,1736273586584
695,69,1736273586593
699,69,1736273586601
701,69,1736273586610
702,68,1736273586619
702,67,1736273586669
702,63,1736273586682
701,59,1736273586691
699,54,1736273586701
698,50,1736273586710
694,36,1736273586718
694,31,1736273586727
693,30,1736273586736
693,29,1736273586745
692,28,1736273586754
692,29,1736273586790
695,31,1736273586800
698,36,1736273586809
708,55,1736273586817
711,65,1736273586826
716,78,1736273586835
718,89,1736273586844
719,95,1736273586854
719,99,1736273586863
718,101,1736273586871
717,102,1736273586879
713,104,1736273586888
710,104,1736273586898
705,104,1736273586908
699,101,1736273586917
688,95,1736273586926
676,85,1736273586936
671,79,1736273586946
665,66,1736273586955
664,61,1736273586965
664,58,1736273586974
664,56,1736273586982
666,54,1736273586991
667,53,1736273586999
668,52,1736273587008
670,52,1736273587016
671,51,1736273587025
672,51,1736273587034
673,51,1736273587043
674,51,1736273587077
674,52,1736273587090
676,55,1736273587098
679,57,1736273587107
682,64,1736273587116
683,67,1736273587125
683,68,1736273587133
683,69,1736273587141
683,70,1736273587150
682,71,1736273587158
679,72,1736273587167
674,73,1736273587175
671,73,1736273587183
667,72,1736273587192
663,70,1736273587200
659,67,1736273587208
657,65,1736273587217
654,62,1736273587225
651,56,1736273587234
650,51,1736273587242
650,48,1736273587250
652,46,1736273587259
657,43,1736273587267
663,41,1736273587276
666,40,1736273587284
677,39,1736273587292
686,39,1736273587301
696,39,1736273587309
706,40,1736273587318
721,47,1736273587326
727,52,1736273587335
