Width,Height
1920,869
671,376,1736277963827
649,385,1736277963847
640,386,1736277963869
631,386,1736277963884
631,385,1736277963920
633,383,1736277963935
642,381,1736277963948
653,380,1736277963961
656,380,1736277963974
663,380,1736277963986
664,380,1736277964001
663,380,1736277964019
662,380,1736277964033
659,382,1736277964046
651,384,1736277964061
636,385,1736277964078
610,384,1736277964093
588,379,1736277964107
583,375,1736277964120
583,374,1736277964131
592,366,1736277964143
609,362,1736277964155
656,361,1736277964166
688,361,1736277964179
720,361,1736277964190
802,371,1736277964201
820,381,1736277964212
829,394,1736277964223
828,402,1736277964234
820,409,1736277964246
812,412,1736277964257
769,418,1736277964269
739,418,1736277964280
683,404,1736277964291
659,392,1736277964304
641,380,1736277964315
628,368,1736277964326
628,367,1736277964337
633,359,1736277964348
638,356,1736277964359
652,351,1736277964371
680,348,1736277964382
691,348,1736277964394
698,351,1736277964405
701,357,1736277964415
701,361,1736277964427
697,371,1736277964438
666,399,1736277964449
648,407,1736277964460
622,411,1736277964471
599,412,1736277964481
591,412,1736277964492
585,410,1736277964503
581,406,1736277964513
575,397,1736277964524
573,392,1736277964534
575,386,1736277964545
587,372,1736277964556
595,369,1736277964567
611,364,1736277964577
649,360,1736277964588
663,360,1736277964598
680,364,1736277964609
687,369,1736277964620
687,372,1736277964630
687,374,1736277964641
686,376,1736277964650
681,379,1736277964660
678,380,1736277964671
677,380,1736277964681
678,380,1736277964708
683,380,1736277964717
689,380,1736277964728
704,380,1736277964738
717,382,1736277964748
770,389,1736277964758
802,391,1736277964768
846,393,1736277964778
892,395,1736277964787
944,395,1736277964798
1036,397,1736277964807
1078,397,1736277964817
1114,397,1736277964828
1138,397,1736277964837
1174,397,1736277964847
1228,397,1736277964858
1243,397,1736277964869
1259,396,1736277964880
1279,394,1736277964890
1282,393,1736277964900
1282,392,1736277964920
1282,392,1736277964932
1281,392,1736277964944
1281,391,1736277964955
1281,390,1736277964968
1281,389,1736277964993
1281,388,1736277965041
1280,388,1736277965228
1278,388,1736277965240
1274,389,1736277965252
1253,389,1736277965263
1239,391,1736277965273
1232,391,1736277965285
1219,391,1736277965295
1221,389,1736277965339
1225,386,1736277965351
1237,382,1736277965362
1246,381,1736277965373
1257,379,1736277965383
1270,378,1736277965393
1277,376,1736277965403
1282,376,1736277965413
1281,377,1736277965441
1277,379,1736277965451
1272,382,1736277965462
1266,383,1736277965473
1262,384,1736277965482
1251,386,1736277965492
1245,388,1736277965502
1235,389,1736277965512
1216,391,1736277965522
1194,391,1736277965532
