Width,Height
1920,869
602,429,1736277123187
549,362,1736277123244
648,250,1736277123294
797,211,1736277123345
824,219,1736277123392
876,213,1736277123440
877,213,1736277123652
877,203,1736277123703
878,191,1736277123748
883,179,1736277123794
886,177,1736277123838
886,176,1736277123883
886,177,1736277124008
885,183,1736277124056
881,203,1736277124101
875,210,1736277124144
874,210,1736277124241
872,210,1736277124291
872,209,1736277124341
872,210,1736277124665
871,211,1736277124714
870,212,1736277124841
869,216,1736277124890
869,215,1736277125232
869,215,1736277125666
870,215,1736277125805
870,215,1736277126692
870,212,1736277126756
869,206,1736277126799
868,192,1736277126843
863,174,1736277126887
841,144,1736277126933
831,131,1736277126979
828,123,1736277127025
822,108,1736277127071
809,88,1736277127115
777,60,1736277127159
767,60,1736277127203
753,60,1736277127246
753,59,1736277127290
758,51,1736277127334
765,45,1736277127379
765,45,1736277127546
757,61,1736277127594
714,111,1736277127637
688,130,1736277127680
680,137,1736277127723
666,154,1736277127767
657,162,1736277127811
645,172,1736277127854
623,193,1736277127900
619,195,1736277127945
624,186,1736277127990
652,168,1736277128034
684,145,1736277128080
701,130,1736277128123
717,118,1736277128166
725,113,1736277128212
738,106,1736277128257
750,99,1736277128300
771,82,1736277128343
787,72,1736277128388
787,73,1736277128497
766,109,1736277128545
740,141,1736277128587
726,158,1736277128630
716,166,1736277128673
709,170,1736277128716
698,180,1736277128761
694,184,1736277128804
697,184,1736277128847
733,178,1736277128890
824,172,1736277128932
829,172,1736277128974
829,172,1736277129186
810,196,1736277129234
749,223,1736277129280
679,236,1736277129323
608,244,1736277129366
566,250,1736277129410
542,256,1736277129454
536,256,1736277129498
531,260,1736277129540
530,260,1736277129583
541,261,1736277131641
541,261,1736277131778
534,268,1736277131829
526,286,1736277131873
515,300,1736277131917
503,311,1736277131961
496,321,1736277132005
491,333,1736277132048
488,343,1736277132093
486,347,1736277132137
484,353,1736277132182
475,362,1736277132225
474,364,1736277132270
474,363,1736277132430
476,362,1736277132479
491,361,1736277135047
492,361,1736277135097
492,362,1736277135163
501,367,1736277135208
532,376,1736277135252
541,376,1736277135298
541,377,1736277135380
529,418,1736277135430
499,459,1736277135475
458,479,1736277135520
456,475,1736277135564
455,462,1736277135609
456,458,1736277135653
450,447,1736277135696
448,446,1736277135762
447,446,1736277135762
474,445,1736277137204
475,444,1736277137250
475,445,1736277137323
481,445,1736277137372
491,446,1736277137416
500,453,1736277137459
514,462,1736277137503
538,490,1736277137547
591,551,1736277137593
603,571,1736277137638
603,571,1736277137683
603,571,1736277137725
601,566,1736277137768
613,543,1736277137812
626,529,1736277137871
626,528,1736277137919
613,520,1736277139334
613,521,1736277139382
613,522,1736277139523
607,525,1736277139572
585,527,1736277139616
587,527,1736277139829
688,485,1736277139879
808,429,1736277139923
909,365,1736277139967
969,330,1736277140016
971,325,1736277140061
974,321,1736277140103
981,313,1736277140146
984,307,1736277140188
986,304,1736277140231
993,292,1736277140273
997,285,1736277140317
1001,276,1736277140376
1009,268,1736277140419
1012,265,1736277140463
1012,264,1736277140512
850,263,1736277142078
851,263,1736277142124
851,264,1736277142182
854,267,1736277142227
851,284,1736277142270
824,334,1736277142315
817,346,1736277142359
816,355,1736277142402
818,361,1736277142445
832,362,1736277142488
867,362,1736277142530
901,362,1736277142573
905,360,1736277142615
906,360,1736277142664
848,358,1736277143926
849,358,1736277144045
876,362,1736277144096
911,378,1736277144141
953,410,1736277144184
964,419,1736277144227
977,429,1736277144272
1004,433,1736277144315
1035,438,1736277144357
1051,439,1736277144400
1069,438,1736277144443
1082,439,1736277144486
1094,439,1736277144537
1028,442,1736277146217
1029,441,1736277146329
1068,411,1736277146378
1150,370,1736277146422
1235,301,1736277146465
1273,249,1736277146508
1274,247,1736277146551
1278,241,1736277146596
1279,239,1736277146639
1279,240,1736277146793
1278,249,1736277146842
1274,260,1736277146889
1270,264,1736277146945
1275,277,1736277148295
1275,278,1736277148433
1275,278,1736277148484
1275,278,1736277148591
1274,267,1736277148640
1274,264,1736277148683
1275,264,1736277148725
1312,283,1736277148769
1404,336,1736277148813
1519,356,1736277148857
1622,363,1736277148900
1633,363,1736277148943
1632,364,1736277148997
1613,368,1736277149042
1569,371,1736277149098
1563,370,1736277149140
1460,355,1736277150653
1460,356,1736277150783
1458,380,1736277150833
1448,425,1736277150893
1440,439,1736277150935
1430,444,1736277150978
1415,446,1736277151019
1393,447,1736277151060
1328,447,1736277151102
1319,449,1736277151144
1316,450,1736277151185
1311,448,1736277151227
1333,434,1736277152415
1334,433,1736277152461
1334,434,1736277152513
1328,439,1736277152557
1287,445,1736277152601
1220,442,1736277152644
1208,441,1736277152687
1208,439,1736277152729
1209,439,1736277152795
1216,436,1736277152842
1219,436,1736277152886
1279,453,1736277153835
1279,453,1736277153881
1279,453,1736277153928
1400,505,1736277153987
1536,531,1736277154029
1571,529,1736277154072
1558,507,1736277154115
1546,482,1736277154158
1537,471,1736277154200
1524,463,1736277154243
1523,461,1736277154286
1523,460,1736277154328
1525,458,1736277154371
1463,439,1736277155298
1464,439,1736277155424
1468,430,1736277155472
1475,411,1736277155531
1479,406,1736277155575
1490,391,1736277155618
1501,377,1736277155663
1504,373,1736277155706
1505,370,1736277155753
1449,365,1736277157016
1450,365,1736277157068
1454,362,1736277157113
1452,354,1736277157173
1441,311,1736277157216
1436,295,1736277157258
1436,280,1736277157301
1441,266,1736277157344
1448,261,1736277157385
1448,260,1736277157435
1407,251,1736277158315
1407,250,1736277158362
1407,251,1736277158441
1406,252,1736277158489
1398,257,1736277158532
1374,266,1736277158574
1293,280,1736277158617
1170,293,1736277158661
1072,295,1736277158704
1045,294,1736277158747
1026,294,1736277158789
1010,288,1736277158832
1007,277,1736277158875
1008,271,1736277158917
1008,270,1736277158965
977,265,1736277160046
977,264,1736277160091
977,265,1736277160140
878,285,1736277160198
756,287,1736277160242
658,287,1736277160286
650,286,1736277160329
648,281,1736277160371
644,273,1736277160413
647,267,1736277160456
647,266,1736277160503
647,265,1736277160503
607,247,1736277161720
607,247,1736277161794
607,247,1736277161872
607,248,1736277161919
601,262,1736277161963
589,310,1736277162007
588,313,1736277162050
588,314,1736277162092
595,330,1736277162135
604,341,1736277162178
623,346,1736277162221
641,342,1736277162263
642,342,1736277162305
628,358,1736277163914
629,358,1736277164046
637,377,1736277164099
650,418,1736277164144
656,437,1736277164188
661,442,1736277164231
661,441,1736277164498
647,427,1736277164546
622,406,1736277164590
618,405,1736277164632
619,405,1736277164677
624,406,1736277164720
646,422,1736277164764
693,425,1736277164822
698,425,1736277164865
697,425,1736277165035
695,420,1736277165080
693,404,1736277165124
684,361,1736277165167
665,317,1736277165209
652,302,1736277165252
620,266,1736277165294
615,261,1736277165336
611,249,1736277165378
610,233,1736277165420
616,227,1736277165461
639,207,1736277165503
645,204,1736277165552
645,203,1736277165552
650,204,1736277167984
650,204,1736277168076
651,224,1736277168124
676,283,1736277168181
683,295,1736277168224
684,298,1736277168267
687,301,1736277168309
690,305,1736277168351
702,311,1736277168394
708,316,1736277168438
713,324,1736277168480
720,329,1736277168523
726,335,1736277168565
727,345,1736277168606
727,353,1736277168658
727,352,1736277168724
725,344,1736277168772
724,309,1736277168815
732,276,1736277168858
770,234,1736277168901
847,198,1736277168945
873,194,1736277168989
887,192,1736277169032
896,191,1736277169075
893,191,1736277169118
885,193,1736277169161
863,199,1736277169203
860,199,1736277169244
860,198,1736277169287
864,194,1736277169329
866,193,1736277169370
866,192,1736277169412
866,191,1736277169552
866,192,1736277169804
846,202,1736277169852
753,190,1736277169898
630,137,1736277169946
591,121,1736277169992
535,117,1736277170036
503,117,1736277170080
498,119,1736277170123
488,126,1736277170166
467,134,1736277170208
454,136,1736277170250
454,136,1736277170478
486,131,1736277170525
594,129,1736277170568
769,129,1736277170611
867,128,1736277170653
882,125,1736277170694
905,123,1736277170735
923,123,1736277170777
925,122,1736277170818
923,122,1736277170860
885,125,1736277170903
757,136,1736277170945
639,138,1736277170986
551,142,1736277171028
502,143,1736277171069
487,143,1736277171111
454,143,1736277171153
451,143,1736277171194
451,142,1736277171291
453,138,1736277171338
455,136,1736277171380
458,136,1736277171423
530,148,1736277171465
696,200,1736277171507
808,290,1736277171550
792,372,1736277171594
726,433,1736277171636
638,453,1736277171678
552,455,1736277171719
484,455,1736277171761
466,456,1736277171803
465,456,1736277171845
466,429,1736277171888
535,273,1736277171931
667,211,1736277171973
744,198,1736277172015
748,197,1736277172058
738,204,1736277172102
696,226,1736277172145
603,305,1736277172188
521,411,1736277172231
502,456,1736277172274
503,459,1736277172316
504,458,1736277172361
511,385,1736277172403
515,276,1736277172445
561,217,1736277172488
658,172,1736277172529
758,162,1736277172572
804,170,1736277172615
796,178,1736277172658
750,210,1736277172701
609,315,1736277172744
485,473,1736277172789
470,530,1736277172833
507,494,1736277172878
553,375,1736277172919
627,233,1736277172961
757,171,1736277173003
827,173,1736277173046
882,254,1736277173089
918,382,1736277173131
925,485,1736277173175
925,484,1736277173270
946,392,1736277173318
924,220,1736277173360
910,158,1736277173401
910,157,1736277173443
911,176,1736277173485
916,277,1736277173528
906,475,1736277173571
902,520,1736277173613
902,519,1736277173675
906,460,1736277173721
902,311,1736277173763
912,281,1736277173805
986,277,1736277173847
1230,291,1736277173889
1401,347,1736277173930
1405,409,1736277173972
1377,491,1736277174014
1376,519,1736277174055
1377,521,1736277174096
1377,492,1736277174138
1341,361,1736277174180
1255,241,1736277174222
1206,225,1736277174264
1177,224,1736277174306
1124,220,1736277174347
1042,222,1736277174389
967,225,1736277174431
914,230,1736277174473
901,212,1736277174515
904,191,1736277174557
904,190,1736277174599
880,191,1736277174642
808,201,1736277174685
693,211,1736277174729
679,211,1736277174783
680,211,1736277174883
709,199,1736277174932
771,182,1736277174975
792,183,1736277175021
793,184,1736277175021
793,187,1736277175107
781,220,1736277175158
703,411,1736277175202
611,536,1736277175247
578,464,1736277175291
531,336,1736277175336
503,275,1736277175380
501,275,1736277175423
485,277,1736277175466
462,276,1736277175511
455,279,1736277175553
432,332,1736277175596
409,395,1736277175638
408,421,1736277175680
409,421,1736277175743
417,407,1736277175790
418,309,1736277175831
417,193,1736277175873
447,189,1736277175916
457,193,1736277175959
459,209,1736277176002
459,252,1736277176045
443,458,1736277176087
433,505,1736277176130
433,504,1736277176273
454,447,1736277176320
566,343,1736277176362
802,307,1736277176404
950,295,1736277176446
1014,296,1736277176488
1014,298,1736277176530
1013,298,1736277176571
1001,305,1736277176612
931,362,1736277176655
819,478,1736277176699
776,516,1736277176740
768,522,1736277176782
767,531,1736277176823
834,554,1736277176865
1046,554,1736277176907
1206,550,1736277176948
1267,553,1736277176990
1267,552,1736277177031
1267,552,1736277177072
1266,552,1736277177161
1236,555,1736277177208
1083,549,1736277177249
861,509,1736277177290
687,505,1736277177331
652,504,1736277177372
653,504,1736277177413
654,504,1736277177469
662,495,1736277177512
663,491,1736277177553
649,482,1736277177594
623,460,1736277177636
634,425,1736277177679
657,388,1736277177720
671,376,1736277177762
672,375,1736277177803
676,367,1736277177844
676,366,1736277177935
674,364,1736277177981
673,364,1736277178029
512,365,1736277179580
512,365,1736277179719
500,398,1736277179769
461,477,1736277179812
446,496,1736277179855
439,512,1736277179899
434,535,1736277179942
450,568,1736277179986
460,581,1736277180028
464,569,1736277180069
481,474,1736277180110
552,375,1736277180152
682,325,1736277180195
860,311,1736277180254
998,337,1736277180295
1069,341,1736277180337
1179,337,1736277180380
